#,Best fitness,Average fitness,Worst fitness,Respawn,Finish,Distance,Time,Speed
158,857.4527,532.0597,82.97865,10,False,534.6189,16.56019,72.2147
159,857.4527,721.3431,190.9697,10,False,534.6189,16.56019,72.2147
160,990.7499,623.7963,116.447,10,False,681.5301,22.04031,69.16937
161,854.1601,605.3895,117.3151,10,False,555.5052,18.60023,66.80612
162,854.1601,640.0921,94.65521,10,False,555.5052,18.60023,66.80612
163,854.1601,744.3021,701.1552,10,False,555.5052,18.60023,66.80612
164,854.1601,776.4384,706.3027,10,False,555.5052,18.60023,66.80612
165,854.1601,593.1992,163.9604,10,False,555.5052,18.60023,66.80612
166,854.1601,684.1512,157.1927,10,False,555.5052,18.60023,66.80612
167,854.1601,383.6511,118.5498,10,False,555.5052,18.60023,66.80612
168,854.1601,519.3164,24.72552,10,False,555.5052,18.60023,66.80612
169,854.1601,642.951,141.7099,10,False,555.5052,18.60023,66.80612
170,860.5683,627.1903,56.3926,10,False,556.6978,18.32023,67.9728
171,854.1601,520.8193,102.0247,10,False,555.5052,18.60023,66.80612
172,854.1601,584.4776,129.6905,10,False,555.5052,18.60023,66.80612
173,854.1601,713.6803,167.5698,10,False,555.5052,18.60023,66.80612
174,854.1601,664.2349,150.587,10,False,555.5052,18.60023,66.80612
175,854.1601,630.2335,119.3835,10,False,555.5052,18.60023,66.80612
176,793.8177,584.6522,128.4234,10,False,512.3243,18.20023,62.96726
177,793.8177,589.6276,152.7062,10,False,512.3243,18.20023,62.96726
178,814.3989,637.071,130.1414,10,False,512.3243,16.9602,67.57105
179,814.3989,640.1343,163.6871,10,False,512.3243,16.9602,67.57105
180,1329.512,598.737,154.7383,10,False,1036.414,35.36062,65.56316
181,1329.512,769.0724,236.6626,10,False,1036.414,35.36062,65.56316
182,1329.512,756.3868,295.8846,10,False,1036.414,35.36062,65.56316
183,1395.329,837.0748,251.2427,10,False,1066.712,32.46055,73.50852
184,1395.329,804.9525,80.64516,10,False,1066.712,32.46055,73.50852
185,1395.329,879.3371,664.4705,10,False,1066.712,32.46055,73.50852
186,1395.329,814.717,238.6395,10,False,1066.712,32.46055,73.50852
187,1395.329,673.5181,0,10,False,1066.712,32.46055,73.50852
188,1395.329,813.6181,230.9151,10,False,1066.712,32.46055,73.50852
189,1395.329,851.2003,639.2266,10,False,1066.712,32.46055,73.50852
190,1395.329,836.3429,302.109,10,False,1066.712,32.46055,73.50852
191,1395.329,803.1522,48.43657,10,False,1066.712,32.46055,73.50852
192,1395.329,874.6746,712.335,10,False,1066.712,32.46055,73.50852
193,1395.329,871.3491,672.2147,10,False,1066.712,32.46055,73.50852
194,1395.329,748.8782,199.219,10,False,1066.712,32.46055,73.50852
195,1395.329,695.8087,128.0629,10,False,1066.712,32.46055,73.50852
196,1395.329,809.4417,592.2659,10,False,1066.712,32.46055,73.50852
197,1395.329,768.3908,40.74022,10,False,1066.712,32.46055,73.50852
198,1395.329,832.3001,744.5904,10,False,1066.712,32.46055,73.50852
199,1395.329,735.3981,187.5081,10,False,1066.712,32.46055,73.50852
200,1395.329,673.8707,51.11129,10,False,1066.712,32.46055,73.50852
201,1395.329,731.0128,238.7096,10,False,1066.712,32.46055,73.50852
202,1395.329,676.2741,7.045499,10,False,1066.712,32.46055,73.50852
